concept_code,assessment_tool_name,assessment_description,published_value,response_description,decimal_places,collection_start_date,specification_version,source_row
1035771000000107,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 7 score - I feel that the people who have seen my child are working together to help with the problem(s),3,Certainly true,0,2016-04-01,5.0,44
1035771000000107,Experience of Service Questionnaire (ESQ),Experience of Service Questionnaire (ESQ) Parent or Carer item 7 score - I feel that the people who have seen my child are working together to help with the problem(s),3,Certainly true,0,2016-04-01,6.0.7.1,347
1035771000000107,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 7 score - I feel that the people who have seen my child are working together to help with the problem(s),999,Don't know/Missing,0,2016-04-01,4.1,45
1035771000000107,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 7 score - I feel that the people who have seen my child are working together to help with the problem(s),999,Don't know/Missing,0,2016-04-01,5.0,45
1035771000000107,Experience of Service Questionnaire (ESQ),Experience of Service Questionnaire (ESQ) Parent or Carer item 7 score - I feel that the people who have seen my child are working together to help with the problem(s),999,Don't know/Missing,0,2016-04-01,6.0.7.1,348
1035781000000109,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 8 score - the facilities here are comfortable (e.g. waiting area),1,Not True,0,2016-04-01,4.1,46
1035781000000109,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 8 score - the facilities here are comfortable (e.g. waiting area),1,Not True,0,2016-04-01,5.0,46
1035781000000109,Experience of Service Questionnaire (ESQ),Experience of Service Questionnaire (ESQ) Parent or Carer item 8 score - the facilities here are comfortable (e.g. waiting area),1,Not True,0,2016-04-01,6.0.7.1,349
1035781000000109,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 8 score - the facilities here are comfortable (e.g. waiting area),2,Partly true,0,2016-04-01,4.1,47
1035781000000109,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 8 score - the facilities here are comfortable (e.g. waiting area),2,Partly true,0,2016-04-01,5.0,47
1035781000000109,Experience of Service Questionnaire (ESQ),Experience of Service Questionnaire (ESQ) Parent or Carer item 8 score - the facilities here are comfortable (e.g. waiting area),2,Partly true,0,2016-04-01,6.0.7.1,350
1035781000000109,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 8 score - the facilities here are comfortable (e.g. waiting area),3,Certainly true,0,2016-04-01,4.1,48
1035781000000109,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 8 score - the facilities here are comfortable (e.g. waiting area),3,Certainly true,0,2016-04-01,5.0,48
