snomed_code,snomed_term,status,category
145121000119106,Intravenous nondependent harmful pattern of use of opioid (disorder),QUALIFYING,Current misuse or dependence
417697003,Irresistible craving for drugs (finding),QUALIFYING,Current misuse or dependence
724715004,Ketamine dependence (disorder),QUALIFYING,Current misuse or dependence
1087511000000109,Late onset amphetamine-induced psychosis (disorder),QUALIFYING,Current misuse or dependence
1087501000000107,Late onset cannabinoid-induced psychosis (disorder),QUALIFYING,Current misuse or dependence
1087481000000103,Late onset cocaine-induced psychosis (disorder),QUALIFYING,Current misuse or dependence
1087491000000101,Late onset lysergic acid diethylamide-induced psychosis (disorder),QUALIFYING,Current misuse or dependence
231475006,Librium dependence (disorder),QUALIFYING,Current misuse or dependence
295566002,Local cocaine overdose (disorder),QUALIFYING,Current misuse or dependence
295570005,Local cocaine overdose of undetermined intent (disorder),QUALIFYING,Current misuse or dependence
228371004,Long-term drug misuser (finding),QUALIFYING,Current misuse or dependence
231468005,Lysergic acid diethylamide dependence (disorder),QUALIFYING,Current misuse or dependence
12398361000119105,Mental disorder caused by methamphetamine (disorder),QUALIFYING,Current misuse or dependence
231469002,Mescaline dependence (disorder),QUALIFYING,Current misuse or dependence
296313005,Mescaline overdose (disorder),QUALIFYING,Current misuse or dependence
296316002,Mescaline overdose of undetermined intent (disorder),QUALIFYING,Current misuse or dependence
231478008,Methadone dependence (disorder),QUALIFYING,Current misuse or dependence
429512006,Methadone misuse (finding),QUALIFYING,Current misuse or dependence
426873000,Methamphetamine dependence (disorder),QUALIFYING,Current misuse or dependence
12398571000119105,Methamphetamine intoxication (disorder),QUALIFYING,Current misuse or dependence
12398281000119105,Methamphetamine withdrawal syndrome (disorder),QUALIFYING,Current misuse or dependence
1231319004,Methylenedioxymethamphetamine dependence (disorder),QUALIFYING,Current misuse or dependence
724704009,Methylenedioxymethamphetamine dependence with current use (disorder),QUALIFYING,Current misuse or dependence
1268383007,Methylenedioxymethamphetamine user (finding),QUALIFYING,Current misuse or dependence
703885002,Misuse of analgesic (finding),QUALIFYING,Current misuse or dependence
788165003,Misuse of medication (finding),QUALIFYING,Current misuse or dependence
424626006,Misuse of over-the-counter medications (finding),QUALIFYING,Current misuse or dependence
191939002,Misuse of prescription only drugs (finding),QUALIFYING,Current misuse or dependence
44870007,Misused drugs in past (finding),QUALIFYING,Current misuse or dependence
105550004,Misused volatile solvents in past (finding),QUALIFYING,Current misuse or dependence
824001000000103,Misuses anabolic steroids (finding),QUALIFYING,Current misuse or dependence
361055000,Misuses drugs (finding),QUALIFYING,Current misuse or dependence
228375008,Misuses drugs orally (finding),QUALIFYING,Current misuse or dependence
228383002,Misuses drugs rectally (finding),QUALIFYING,Current misuse or dependence
228384008,Misuses drugs sublingually (finding),QUALIFYING,Current misuse or dependence
228382007,Misuses drugs vaginally (finding),QUALIFYING,Current misuse or dependence
1254959003,Monitoring substance withdrawal (regime/therapy),QUALIFYING,Current misuse or dependence
788983007,Mood disorder caused by cannabis (disorder),QUALIFYING,Current misuse or dependence
724720004,Mood disorder caused by dissociative drug (disorder),QUALIFYING,Current misuse or dependence
724721000,Mood disorder caused by ketamine (disorder),QUALIFYING,Current misuse or dependence
12398321000119100,Mood disorder caused by methamphetamine (disorder),QUALIFYING,Current misuse or dependence
724707002,Mood disorder caused by methylenedioxymethamphetamine (disorder),QUALIFYING,Current misuse or dependence
29733004,Mood disorder caused by opioid (disorder),QUALIFYING,Current misuse or dependence
4863002,Mood disorder caused by phencyclidine (disorder),QUALIFYING,Current misuse or dependence
