snomed_code,description
25065001,Haemoglobin E disease
25081006,Nephroblastoma
25109007,Lymphopenic agammaglobulinaemia - short-limbed dwarfism syndrome
25190001,"Adenocarcinoma, intestinal type"
25239006,Lymphangiomyoma
25370001,Hepatocellular carcinoma
25397008,Aqueduct of Sylvius anomaly
25472008,Sickle cell-haemoglobin D disease
25603007,Ossifying fibroma
25606004,"Ehlers-Danlos syndrome, hydroxylysine-deficient"
25642007,Congenital fissure of sternum
25739007,Hyperhydroxyprolinaemia
25792000,Kearns-Sayre syndrome
25816005,Brain stem compression
25874003,"Endometrioid adenofibroma, borderline malignancy"
25889007,Benign fibrous histiocytoma
25896009,Congenital atresia of ileum
25910003,Papillary carcinoma
25972003,Congenital absence of rectum
26019009,"Retinoblastoma, differentiated"
26037005,Radiation-induced myelopathy
26079004,Tremor
26111005,Metabolic myopathy
26138003,Gliomatosis cerebri
26179002,Congenital atresia of oesophagus
26211003,Juxtacortical chondrosarcoma
26315009,Congenital obstruction of small intestine
26360005,Hereditary optic atrophy
26372004,Luteoma
26399002,Ocular albinism
26408002,Congenital tracheocele
26496005,Atypical fibrous histiocytoma
26545006,Macrofollicular adenoma
26594006,Syringobulbia
26638004,Water-clear cell adenoma
26682008,Homozygous beta thalassaemia
26735007,Gynandroblastoma
26780008,Coarctation of pulmonary artery
26888009,"Odontogenic tumour, malignant"
26889001,Myositis
26929004,Alzheimer's disease
27007008,Scarring of papillary muscle
27012009,Hyperkinetic heart disease
27078002,Papillary cystic tumour
27090000,Transitional cell carcinoma
27092008,Ameloblastic fibrosarcoma
27097002,Danish type familial amyloid cardiomyopathy
27230006,Basal cell adenoma
27241008,Chronic ischaemic colitis
27277001,Gouty tophus of heart
27313007,Spindle cell lipoma
27461004,Immunoproliferative small intestinal disease
27503000,Gilbert's syndrome
27637000,Dextrocardia
27718001,Maple syrup urine disease
27742002,VATER association
27849002,Myxoid liposarcoma
27885002,Complete atrioventricular block
27982003,Brown-Séquard syndrome
28016005,Jackson's membrane
28047004,Embryonal carcinoma
28054005,Cutaneous T-cell lymphoma
28055006,West syndrome
